solver,average_rank,mean_primal_violation
shade,2.5,814749.536291154
quantum_pdhg,2.6875,38890.67311604431
standard_pdhg,3.6875,39255.26407484128
slpso,3.875,149778.89336623898
ga,4.125,1190094.583241837
de,4.125,4915555.769709106
